"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NITINSPIN","BE","01-Jan-2021","         70.25","         71.00","         72.40","         69.60","         72.35","         72.00","         71.51","      40774","             2915627.70","        168","-","-"
"NITINSPIN","BE","04-Jan-2021","         72.00","         71.05","         75.60","         71.05","         75.60","         75.55","         74.92","     128313","             9613427.10","        464","-","-"
"NITINSPIN","BE","05-Jan-2021","         75.55","         75.65","         79.30","         75.60","         79.30","         79.30","         78.30","      61179","             4790324.80","        319","-","-"
"NITINSPIN","BE","06-Jan-2021","         79.30","         82.60","         83.25","         79.00","         83.25","         83.25","         82.78","     155520","            12873659.60","        567","-","-"
"NITINSPIN","BE","07-Jan-2021","         83.25","         85.00","         87.40","         85.00","         87.40","         87.40","         87.28","      56352","             4918309.15","        248","-","-"
"NITINSPIN","BE","08-Jan-2021","         87.40","         89.00","         91.75","         89.00","         91.75","         91.75","         91.64","     100308","             9192027.40","        321","-","-"
"NITINSPIN","BE","11-Jan-2021","         91.75","         96.15","         96.30","         87.20","         88.95","         88.35","         90.36","     144243","            13033360.45","        723","-","-"
"NITINSPIN","BE","12-Jan-2021","         88.35","         87.50","         87.50","         84.20","         86.05","         86.65","         86.11","      96720","             8328746.40","        437","-","-"
"NITINSPIN","BE","13-Jan-2021","         86.65","         87.00","         87.00","         82.35","         82.35","         82.40","         83.37","      52382","             4367129.25","        363","-","-"
"NITINSPIN","BE","14-Jan-2021","         82.40","         82.35","         83.95","         78.30","         78.95","         78.95","         79.02","     258565","            20432776.30","        616","-","-"
"NITINSPIN","BE","15-Jan-2021","         78.95","         78.40","         79.60","         76.10","         78.00","         78.00","         77.95","      26434","             2060524.00","        188","-","-"
"NITINSPIN","BE","18-Jan-2021","         78.00","         74.65","         77.90","         74.65","         75.10","         75.20","         75.21","     151955","            11428237.60","        530","-","-"
"NITINSPIN","BE","19-Jan-2021","         75.20","         73.65","         78.95","         73.65","         78.95","         78.95","         78.27","      10400","              813980.55","         98","-","-"
"NITINSPIN","BE","20-Jan-2021","         78.95","         80.60","         81.80","         78.15","         81.20","         80.80","         79.98","      48876","             3909330.50","        224","-","-"
"NITINSPIN","BE","21-Jan-2021","         80.80","         80.00","         81.80","         79.10","         81.05","         81.00","         81.04","      37377","             3028942.60","        204","-","-"
"NITINSPIN","BE","22-Jan-2021","         81.00","         81.85","         81.85","         78.00","         79.80","         79.75","         79.19","      33755","             2673133.45","        204","-","-"
"NITINSPIN","BE","25-Jan-2021","         79.75","         81.65","         83.00","         78.50","         79.80","         79.40","         80.05","      22541","             1804296.00","        129","-","-"
"NITINSPIN","BE","27-Jan-2021","         79.40","         77.50","         79.50","         75.50","         76.00","         76.50","         76.86","      80794","             6210067.00","        274","-","-"
"NITINSPIN","BE","28-Jan-2021","         76.50","         74.05","         79.90","         74.00","         76.00","         76.25","         75.86","     295368","            22407002.65","       1154","-","-"
"NITINSPIN","BE","29-Jan-2021","         76.25","         78.95","         80.05","         77.05","         79.10","         80.00","         79.72","     206201","            16437619.25","        372","-","-"
"NITINSPIN","BE","01-Feb-2021","         80.00","         83.00","         83.00","         76.10","         80.30","         79.80","         78.65","      50713","             3988604.05","        256","-","-"
"NITINSPIN","EQ","02-Feb-2021","         79.80","         79.50","         79.50","         77.50","         78.00","         77.90","         78.43","      69914","             5483263.95","        338","      59969","         85.78"
"NITINSPIN","EQ","03-Feb-2021","         77.90","         78.95","         79.00","         77.15","         77.50","         77.25","         77.74","      67608","             5255895.50","        321","      59864","         88.55"
"NITINSPIN","EQ","04-Feb-2021","         77.25","         77.00","         78.60","         74.10","         75.00","         74.90","         75.80","      73164","             5545977.40","        553","      59205","         80.92"
"NITINSPIN","EQ","05-Feb-2021","         74.90","         76.40","         78.85","         75.50","         76.40","         76.35","         76.72","      76813","             5893468.45","        662","      63615","         82.82"
"NITINSPIN","EQ","08-Feb-2021","         76.35","         78.70","         78.70","         74.85","         75.00","         75.05","         76.37","      71921","             5492292.05","        481","      62937","         87.51"
"NITINSPIN","EQ","09-Feb-2021","         75.05","         76.80","         76.80","         73.50","         73.60","         74.05","         74.17","      68166","             5055843.20","        694","      54279","         79.63"
"NITINSPIN","EQ","10-Feb-2021","         74.05","         74.55","         75.80","         70.50","         71.50","         71.60","         72.88","      62495","             4554356.65","        574","      45559","         72.90"
"NITINSPIN","EQ","11-Feb-2021","         71.60","         72.00","         72.75","         69.75","         71.00","         71.25","         70.82","      64139","             4542387.60","        711","      47019","         73.31"
"NITINSPIN","EQ","12-Feb-2021","         71.25","         74.75","         78.35","         74.30","         78.35","         78.35","         77.57","     124412","             9650691.70","        704","      83078","         66.78"
"NITINSPIN","EQ","15-Feb-2021","         78.35","         83.90","         85.00","         80.00","         80.70","         80.95","         82.15","     265993","            21852024.75","       2236","     169697","         63.80"
"NITINSPIN","EQ","16-Feb-2021","         80.95","         80.40","         82.15","         78.05","         79.25","         79.75","         79.46","      79943","             6352040.30","        625","      58019","         72.58"
"NITINSPIN","EQ","17-Feb-2021","         79.75","         79.00","         81.00","         78.05","         80.95","         80.60","         80.00","     392959","            31435489.35","        900","     363707","         92.56"
"NITINSPIN","EQ","18-Feb-2021","         80.60","         80.60","         82.95","         79.60","         81.85","         82.55","         80.63","     171598","            13836297.70","       2861","     142135","         82.83"
"NITINSPIN","EQ","19-Feb-2021","         82.55","         82.55","         83.85","         80.00","         80.80","         80.50","         81.30","      54009","             4391180.40","        618","      39664","         73.44"
"NITINSPIN","EQ","22-Feb-2021","         80.50","         81.90","         81.90","         79.00","         80.00","         80.05","         80.15","      66155","             5302107.15","        394","      54732","         82.73"
