"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JPPOWER","EQ","08-Jan-2021","          3.35","          3.40","          3.50","          3.20","          3.25","          3.30","          3.32","   34728223","           115146027.05","       8299","   17218879","         49.58"
"JPPOWER","EQ","11-Jan-2021","          3.30","          3.35","          3.35","          3.15","          3.25","          3.25","          3.24","   17040729","            55274229.20","       4470","    9160192","         53.75"
"JPPOWER","EQ","12-Jan-2021","          3.25","          3.30","          3.30","          3.20","          3.25","          3.20","          3.24","    8228053","            26654123.05","       3415","    5956053","         72.39"
"JPPOWER","EQ","13-Jan-2021","          3.20","          3.25","          3.30","          3.10","          3.20","          3.15","          3.18","   17029070","            54100119.05","       4609","    9102759","         53.45"
"JPPOWER","EQ","14-Jan-2021","          3.15","          3.20","          3.20","          3.05","          3.15","          3.10","          3.11","   12538760","            39012504.10","       5470","    5870341","         46.82"
"JPPOWER","EQ","15-Jan-2021","          3.10","          3.10","          3.10","          2.95","          3.05","          3.00","          3.01","   23028033","            69415554.40","       5549","   13544083","         58.82"
"JPPOWER","EQ","18-Jan-2021","          3.00","          3.00","          3.05","          2.90","          3.00","          2.95","          2.96","   12852868","            38072365.85","       5070","    7389831","         57.50"
"JPPOWER","EQ","19-Jan-2021","          2.95","          2.95","          3.05","          2.95","          3.05","          3.05","          3.04","    8908950","            27093233.00","       2922","    5383028","         60.42"
"JPPOWER","EQ","20-Jan-2021","          3.05","          3.05","          3.10","          2.90","          3.00","          3.00","          3.00","   17287429","            51905288.45","       4792","    7995718","         46.25"
"JPPOWER","EQ","21-Jan-2021","          3.00","          3.05","          3.10","          2.90","          2.95","          2.95","          2.97","    8555114","            25431507.95","       4361","    6283372","         73.45"
"JPPOWER","EQ","22-Jan-2021","          2.95","          2.95","          2.95","          2.85","          2.85","          2.85","          2.86","   20631083","            59072791.10","       7206","    9668878","         46.87"
"JPPOWER","EQ","25-Jan-2021","          2.85","          2.85","          2.90","          2.75","          2.75","          2.80","          2.80","   14498452","            40619481.80","      16201","    7768266","         53.58"
"JPPOWER","EQ","27-Jan-2021","          2.80","          2.80","          2.90","          2.75","          2.90","          2.90","          2.85","    8218626","            23396793.50","       5812","    5773888","         70.25"
"JPPOWER","EQ","28-Jan-2021","          2.90","          3.00","          3.00","          2.90","          3.00","          3.00","          2.99","   15204730","            45465421.25","       5405","    7105366","         46.73"
"JPPOWER","EQ","29-Jan-2021","          3.00","          2.85","          2.90","          2.85","          2.85","          2.85","          2.85","    7830578","            22318451.35","       3673","    6418573","         81.97"
"JPPOWER","EQ","01-Feb-2021","          2.85","          2.75","          2.85","          2.75","          2.75","          2.75","          2.76","   47181649","           130051743.65","       6575","   18068940","         38.30"
"JPPOWER","EQ","02-Feb-2021","          2.75","          2.75","          2.85","          2.70","          2.85","          2.85","          2.80","   14036817","            39303920.45","       3881","    6453435","         45.98"
"JPPOWER","EQ","03-Feb-2021","          2.85","          2.90","          2.95","          2.85","          2.90","          2.85","          2.92","   18167638","            52973380.05","       3953","    9026813","         49.69"
"JPPOWER","EQ","04-Feb-2021","          2.85","          2.85","          2.90","          2.75","          2.80","          2.80","          2.83","    9540718","            26997337.50","       7444","    8158920","         85.52"
"JPPOWER","EQ","05-Feb-2021","          2.80","          2.80","          2.85","          2.70","          2.75","          2.75","          2.77","    9719331","            26957923.25","       5502","    7280485","         74.91"
"JPPOWER","EQ","08-Feb-2021","          2.75","          2.65","          2.70","          2.60","          2.65","          2.60","          2.64","   21922784","            57926164.15","       9975","   10276434","         46.88"
"JPPOWER","EQ","09-Feb-2021","          2.60","          2.60","          2.65","          2.45","          2.50","          2.50","          2.54","   14934412","            37993357.40","       6314","    8775459","         58.76"
"JPPOWER","EQ","10-Feb-2021","          2.50","          2.50","          2.50","          2.40","          2.45","          2.40","          2.45","   10542172","            25797544.30","       4941","    5910171","         56.06"
"JPPOWER","EQ","11-Feb-2021","          2.40","          2.45","          2.60","          2.40","          2.60","          2.60","          2.54","   23011508","            58379592.90","       4810","    8973540","         39.00"
"JPPOWER","EQ","12-Feb-2021","          2.60","          2.60","          2.75","          2.55","          2.70","          2.75","          2.67","   16895862","            45133644.80","       6712","    9986233","         59.10"
"JPPOWER","EQ","15-Feb-2021","          2.75","          3.00","          3.00","          3.00","          3.00","          3.00","          3.00","    8655427","            25966281.00","       2334","    8655426","        100.00"
"JPPOWER","EQ","16-Feb-2021","          3.00","          3.30","          3.30","          3.10","          3.30","          3.30","          3.25","   90148618","           293093536.40","      22508","   48131085","         53.39"
"JPPOWER","EQ","17-Feb-2021","          3.30","          3.40","          3.40","          3.15","          3.15","          3.15","          3.22","   29810742","            95959346.60","      10004","   18054550","         60.56"
"JPPOWER","EQ","18-Feb-2021","          3.15","          3.05","          3.10","          3.00","          3.00","          3.00","          3.01","   13841497","            41603952.15","       5170","    7820634","         56.50"
"JPPOWER","EQ","19-Feb-2021","          3.00","          2.85","          3.00","          2.85","          2.85","          2.85","          2.88","   28037378","            80850176.90","       9263","   15399376","         54.92"
